civ_type,civ_name,age,tradition_type,tradition_name,tradition_description,tradition_description_clean,modifier_id
CIVILIZATION_CHOLA,Chola,Modern,TRADITION_CHOLA_SYNCRETISM_MODERN,Veera Banaju Dharma II,+10 [icon:YIELD_DIPLOMACY] if you have 5 or more [icon:TRADE_ROUTE] [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Routes[/TIP]. +100% [icon:YIELD_PRODUCTION] towards training [icon:UNIT_MERCHANT] Merchants.,+10 Influence if you have 5 or more Trade Routes. +100% Production towards training Merchants.,MOD_UNLOCK_CHOLA_SYNCRETISM_MODERN
CIVILIZATION_DAI_VIET,Đại Việt,Antiquity,TRADITION_DAI_VIET_SYNCRETISM_ANTIQUITY,Hành Chính Công I,+1 [icon:YIELD_CULTURE] on [icon:CITY_RURAL] [TIP:LOC_PEDIA_CONCEPTS_IMPROVEMENT_TOOLTIP]Improvements[/TIP] and [icon:CITY_URBAN] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] on [TIP:LOC_PEDIA_CONCEPTS_VEGETATED_TERRAIN_TOOLTIP]Vegetation[/TIP] in [icon:CITY_UNIMPROVED] Tropical Terrain.,+1 Culture on Improvements and Districts on Vegetation in Tropical Terrain.,MOD_UNLOCK_DAI_VIET_SYNCRETISM_ANTIQUITY
CIVILIZATION_DAI_VIET,Đại Việt,Modern,TRADITION_DAI_VIET_SYNCRETISM_MODERN,Hành Chính Công II,+1 [icon:YIELD_CULTURE] and [icon:YIELD_FOOD] on [icon:CITY_RURAL] [TIP:LOC_PEDIA_CONCEPTS_IMPROVEMENT_TOOLTIP]Improvements[/TIP] and [icon:CITY_URBAN] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] on [TIP:LOC_PEDIA_CONCEPTS_VEGETATED_TERRAIN_TOOLTIP]Vegetation[/TIP] in [icon:CITY_UNIMPROVED] Tropical Terrain.,+1 Culture and Food on Improvements and Districts on Vegetation in Tropical Terrain.,MOD_UNLOCK_DAI_VIET_SYNCRETISM_MODERN
CIVILIZATION_EGYPT,Egypt,Exploration,TRADITION_EGYPT_SYNCRETISM_EXPLORATION,Golden Horus I,"+1 [icon:YIELD_CULTURE] and [icon:YIELD_GOLD] on [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP], doubled on Antiquity [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP].","+1 Culture and Gold on Wonders, doubled on Antiquity Wonders.",MOD_UNLOCK_EGYPT_SYNCRETISM_EXPLORATION
CIVILIZATION_EGYPT,Egypt,Modern,TRADITION_EGYPT_SYNCRETISM_MODERN,Golden Horus II,"+2 [icon:YIELD_CULTURE] and [icon:YIELD_GOLD] on [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP], doubled on Antiquity [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP].","+2 Culture and Gold on Wonders, doubled on Antiquity Wonders.",MOD_UNLOCK_EGYPT_SYNCRETISM_MODERN
CIVILIZATION_FRENCH_EMPIRE,French Empire,Antiquity,TRADITION_FRENCH_EMPIRE_SYNCRETISM_ANTIQUITY,De l'Esprit des Loix I,+2 [icon:YIELD_CULTURE] for every [icon:TRADITION] [TIP:LOC_PEDIA_CONCEPTS_TRADITION_TOOLTIP]Tradition[/TIP] slotted into the [icon:GOVERNMENT] Government. +2 [icon:YIELD_HAPPINESS] for every [icon:SOCIAL_POLICY] [TIP:LOC_PEDIA_CONCEPTS_SOCIAL_POLICY_TOOLTIP]Social Policy[/TIP] slotted into the [icon:GOVERNMENT] Government.,+2 Culture for every Tradition slotted into the Government. +2 Happiness for every Social Policy slotted into the Government.,MOD_UNLOCK_FRENCH_EMPIRE_SYNCRETISM_ANTIQUITY
CIVILIZATION_FRENCH_EMPIRE,French Empire,Exploration,TRADITION_FRENCH_EMPIRE_SYNCRETISM_EXPLORATION,De l'Esprit des Loix II,+3 [icon:YIELD_CULTURE] for every [icon:TRADITION] [TIP:LOC_PEDIA_CONCEPTS_TRADITION_TOOLTIP]Tradition[/TIP] slotted into the [icon:GOVERNMENT] Government. +3 [icon:YIELD_HAPPINESS] for every [icon:SOCIAL_POLICY] [TIP:LOC_PEDIA_CONCEPTS_SOCIAL_POLICY_TOOLTIP]Social Policy[/TIP] slotted into the [icon:GOVERNMENT] Government.,+3 Culture for every Tradition slotted into the Government. +3 Happiness for every Social Policy slotted into the Government.,MOD_UNLOCK_FRENCH_EMPIRE_SYNCRETISM_EXPLORATION
CIVILIZATION_GREAT_BRITAIN,Great Britain,Antiquity,TRADITION_GREAT_BRITAIN_SYNCRETISM_ANTIQUITY,Royal Society I,+1 [icon:YIELD_SCIENCE] Science on [icon:YIELD_CULTURE] Culture Buildings adjacent to Coast. +1 [icon:YIELD_CULTURE] Culture on [icon:YIELD_SCIENCE] Science Buildings adjacent to Coast.,+1 Science on Culture Buildings adjacent to Coast. +1 Culture on Science Buildings adjacent to Coast.,MOD_UNLOCK_GREAT_BRITAIN_SYNCRETISM_ANTIQUITY
CIVILIZATION_GREAT_BRITAIN,Great Britain,Exploration,TRADITION_GREAT_BRITAIN_SYNCRETISM_EXPLORATION,Royal Society II,+2 [icon:YIELD_SCIENCE] Science on [icon:YIELD_CULTURE] Culture Buildings adjacent to Coast. +2 [icon:YIELD_CULTURE] Culture on [icon:YIELD_SCIENCE] Science Buildings adjacent to Coast.,+2 Science on Culture Buildings adjacent to Coast. +2 Culture on Science Buildings adjacent to Coast.,MOD_UNLOCK_GREAT_BRITAIN_SYNCRETISM_EXPLORATION
CIVILIZATION_GREECE,Greece,Exploration,TRADITION_GREECE_SYNCRETISM_EXPLORATION,Hellenism I,+1 [icon:YIELD_HAPPINESS] and [icon:YIELD_PRODUCTION] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] for each [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+1 Happiness and Production in Cities for each City-State you are Suzerain of.,MOD_UNLOCK_GREECE_SYNCRETISM_EXPLORATION
CIVILIZATION_GREECE,Greece,Modern,TRADITION_GREECE_SYNCRETISM_MODERN,Hellenism II,+2 [icon:YIELD_HAPPINESS] and [icon:YIELD_PRODUCTION] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] for each [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+2 Happiness and Production in Cities for each City-State you are Suzerain of.,MOD_UNLOCK_GREECE_SYNCRETISM_MODERN
CIVILIZATION_HAN,Han,Exploration,TRADITION_HAN_SYNCRETISM_EXPLORATION,Capable Rule I,+1 [icon:YIELD_SCIENCE] in Cities for every [icon:TRADITION] [TIP:LOC_PEDIA_CONCEPTS_TRADITION_TOOLTIP]Tradition[/TIP] slotted in the [icon:GOVERNMENT] Government.,+1 Science in Cities for every Tradition slotted in the Government.,MOD_UNLOCK_HAN_SYNCRETISM_EXPLORATION
CIVILIZATION_HAN,Han,Modern,TRADITION_HAN_SYNCRETISM_MODERN,Capable Rule II,+2 [icon:YIELD_SCIENCE] in Cities for every [icon:TRADITION] [TIP:LOC_PEDIA_CONCEPTS_TRADITION_TOOLTIP]Tradition[/TIP] slotted in the [icon:GOVERNMENT] Government.,+2 Science in Cities for every Tradition slotted in the Government.,MOD_UNLOCK_HAN_SYNCRETISM_MODERN
CIVILIZATION_HAWAII,Hawai'i,Antiquity,TRADITION_HAWAII_SYNCRETISM_ANTIQUITY,Hōkūle'a I,+1 [icon:YIELD_CULTURE] on Districts and [icon:CITY_RURAL] Unique Improvements adjacent to Coast.,+1 Culture on Districts and Unique Improvements adjacent to Coast.,MOD_UNLOCK_HAWAII_SYNCRETISM_ANTIQUITY
CIVILIZATION_HAWAII,Hawai'i,Modern,TRADITION_HAWAII_SYNCRETISM_MODERN,Hōkūle'a II,+2 [icon:YIELD_CULTURE] on Districts and [icon:CITY_RURAL] Unique Improvements adjacent to Coast. +4 [icon:YIELD_CULTURE] on Volcanoes.,+2 Culture on Districts and Unique Improvements adjacent to Coast. +4 Culture on Volcanoes.,MOD_UNLOCK_HAWAII_SYNCRETISM_MODERN
CIVILIZATION_ICELAND,Iceland,Antiquity,TRADITION_ICELAND_SYNCRETISM_ANTIQUITY,Drekahöfuð I,Producing a [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval Unit[/TIP] grants [icon:YIELD_CULTURE] Culture equal to 50% of the Unit's [icon:YIELD_PRODUCTION] Production cost.,Producing a Naval Unit grants Culture equal to 50% of the Unit's Production cost.,MOD_UNLOCK_ICELAND_SYNCRETISM_ANTIQUITY
CIVILIZATION_ICELAND,Iceland,Modern,TRADITION_ICELAND_SYNCRETISM_MODERN,Drekahöfuð II,Producing a [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval Unit[/TIP] grants [icon:YIELD_CULTURE] Culture equal to 50% of the Unit's [icon:YIELD_PRODUCTION] Production cost. +1 [icon:NAR_REW_COMBAT] Combat Strength for [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval Units[/TIP] for each improved [icon:NOTIFICATION_DISCOVER_NATURAL_WONDER] [TIP:LOC_PEDIA_CONCEPTS_NATURAL_WONDER_TOOLTIP]Natural Wonder[/TIP] in your empire.,Producing a Naval Unit grants Culture equal to 50% of the Unit's Production cost. +1 Combat Strength for Naval Units for each improved Natural Wonder in your empire.,MOD_UNLOCK_ICELAND_SYNCRETISM_MODERN
CIVILIZATION_INCA,Inca,Antiquity,TRADITION_INCA_SYNCRETISM_ANTIQUITY,Huaca I,+10% [icon:YIELD_FOOD] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] with their City Center adjacent to a Mountain or with 3 worked Mountain tiles.,+10% Food in Settlements with their City Center adjacent to a Mountain or with 3 worked Mountain tiles.,MOD_UNLOCK_INCA_SYNCRETISM_ANTIQUITY
CIVILIZATION_INCA,Inca,Modern,TRADITION_INCA_SYNCRETISM_MODERN,Huaca II,+15% [icon:YIELD_FOOD] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] with their City Center adjacent to a Mountain or with 3 worked Mountain tiles.,+15% Food in Settlements with their City Center adjacent to a Mountain or with 3 worked Mountain tiles.,MOD_UNLOCK_INCA_SYNCRETISM_MODERN
CIVILIZATION_KHMER,Khmer,Exploration,TRADITION_KHMER_SYNCRETISM_EXPLORATION,Varna I,+1 [icon:YIELD_GOLD] on [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP].,+1 Gold on Specialists.,MOD_UNLOCK_KHMER_SYNCRETISM_EXPLORATION
CIVILIZATION_KHMER,Khmer,Modern,TRADITION_KHMER_SYNCRETISM_MODERN,Varna II,+1 [icon:YIELD_GOLD] and [icon:YIELD_SCIENCE] on [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP].,+1 Gold and Science on Specialists.,MOD_UNLOCK_KHMER_SYNCRETISM_MODERN
CIVILIZATION_MAJAPAHIT,Majapahit,Antiquity,TRADITION_MAJAPAHIT_SYNCRETISM_ANTIQUITY,Subak I,+2 [icon:YIELD_FOOD] on [icon:CITY_URBAN] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Quarters[/TIP] on or adjacent to [icon:CITY_UNIMPROVED] Coast. +10% [icon:GROWTH_RATE] [TIP:LOC_PEDIA_CONCEPTS_GROWTH_RATE_TOOLTIP]Growth Rate[/TIP] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] adjacent to [icon:CITY_UNIMPROVED] Coast.,+2 Food on Quarters on or adjacent to Coast. +10% Growth Rate in Settlements adjacent to Coast.,MOD_UNLOCK_MAJAPAHIT_SYNCRETISM_ANTIQUITY
CIVILIZATION_MAJAPAHIT,Majapahit,Modern,TRADITION_MAJAPAHIT_SYNCRETISM_MODERN,Subak II,+4 [icon:YIELD_FOOD] on [icon:CITY_URBAN] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Quarters[/TIP] on or adjacent to [icon:CITY_UNIMPROVED] Coast. +15% [icon:GROWTH_RATE] [TIP:LOC_PEDIA_CONCEPTS_GROWTH_RATE_TOOLTIP]Growth Rate[/TIP] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] adjacent to [icon:CITY_UNIMPROVED] Coast.,+4 Food on Quarters on or adjacent to Coast. +15% Growth Rate in Settlements adjacent to Coast.,MOD_UNLOCK_MAJAPAHIT_SYNCRETISM_MODERN
CIVILIZATION_MAURYA,Maurya,Exploration,TRADITION_MAURYA_SYNCRETISM_EXPLORATION,Chhatrapati I,"+2 [icon:YIELD_Production] and [icon:YIELD_SCIENCE] on the [TIP:LOC_PEDIA_CONCEPTS_PALACE_TOOLTIP]Palace[/TIP] and on City Halls in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Captured Settlements[/TIP] from any Age, doubled while in a [icon:CELEBRATION] [TIP:LOC_PEDIA_CONCEPTS_CELEBRATIONS_TOOLTIP]Celebration[/TIP].","+2 and Science on the Palace and on City Halls in Captured Settlements from any Age, doubled while in a Celebration.",MOD_UNLOCK_MAURYA_SYNCRETISM_EXPLORATION
CIVILIZATION_MAURYA,Maurya,Modern,TRADITION_MAURYA_SYNCRETISM_MODERN,Chhatrapati II,"+3 [icon:YIELD_Production] and [icon:YIELD_SCIENCE] on the [TIP:LOC_PEDIA_CONCEPTS_PALACE_TOOLTIP]Palace[/TIP] and on City Halls in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Captured Settlements[/TIP] from any Age, doubled while in a [icon:CELEBRATION] [TIP:LOC_PEDIA_CONCEPTS_CELEBRATIONS_TOOLTIP]Celebration[/TIP].","+3 and Science on the Palace and on City Halls in Captured Settlements from any Age, doubled while in a Celebration.",MOD_UNLOCK_MAURYA_SYNCRETISM_MODERN
CIVILIZATION_MAYA,Maya,Exploration,TRADITION_MAYA_SYNCRETISM_EXPLORATION,Milpa I,+2 [icon:YIELD_SCIENCE] on Science [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP] placed on [icon:CITY_UNIMPROVED] [TIP:LOC_PEDIA_CONCEPTS_VEGETATED_TERRAIN_TOOLTIP]Vegetated Terrain[/TIP].,+2 Science on Science Buildings placed on Vegetated Terrain.,MOD_UNLOCK_MAYA_SYNCRETISM_EXPLORATION
CIVILIZATION_MAYA,Maya,Modern,TRADITION_MAYA_SYNCRETISM_MODERN,Milpa II,+2 [icon:YIELD_SCIENCE] on Happiness and Science [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP] placed on [icon:CITY_UNIMPROVED] [TIP:LOC_PEDIA_CONCEPTS_VEGETATED_TERRAIN_TOOLTIP]Vegetated Terrain[/TIP].,+2 Science on Happiness and Science Buildings placed on Vegetated Terrain.,MOD_UNLOCK_MAYA_SYNCRETISM_MODERN
CIVILIZATION_MEIJI,Meiji Japan,Antiquity,TRADITION_MEIJI_SYNCRETISM_ANTIQUITY,Kimi I,+1 [icon:YIELD_SCIENCE] for every [TIP:LOC_PEDIA_CONCEPTS_EMPIRE_RESOURCES_TOOLTIP]Empire Resource[/TIP].,+1 Science for every Empire Resource.,MOD_UNLOCK_MEIJI_SYNCRETISM_ANTIQUITY
CIVILIZATION_MEIJI,Meiji Japan,Exploration,TRADITION_MEIJI_SYNCRETISM_EXPLORATION,Kimi II,+1 [icon:YIELD_SCIENCE] for every [TIP:LOC_PEDIA_CONCEPTS_EMPIRE_RESOURCES_TOOLTIP]Empire Resource[/TIP]. +1 [icon:YIELD_SCIENCE] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] adjacent to Coast for every [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resource[/TIP] assigned to them.,+1 Science for every Empire Resource. +1 Science in Cities adjacent to Coast for every Resource assigned to them.,MOD_UNLOCK_MEIJI_SYNCRETISM_EXPLORATION
CIVILIZATION_MEXICO,Mexico,Antiquity,TRADITION_MEXICO_SYNCRETISM_ANTIQUITY,Campesinos I,+2 [icon:YIELD_HAPPINESS] in the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP]. +5 to all Yields in the [icon:NOTIFICATION_SELECT_CAPITAL] Capital during a [icon:CELEBRATION] [TIP:LOC_PEDIA_CONCEPTS_CELEBRATIONS_TOOLTIP]Celebration[/TIP].,+2 Happiness in the Capital. +5 to all Yields in the Capital during a Celebration.,MOD_UNLOCK_MEXICO_SYNCRETISM_ANTIQUITY
CIVILIZATION_MEXICO,Mexico,Exploration,TRADITION_MEXICO_SYNCRETISM_EXPLORATION,Campesinos II,+4 [icon:YIELD_HAPPINESS] in the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP]. +10 to all Yields in the [icon:NOTIFICATION_SELECT_CAPITAL] Capital during a [icon:CELEBRATION] [TIP:LOC_PEDIA_CONCEPTS_CELEBRATIONS_TOOLTIP]Celebration[/TIP].,+4 Happiness in the Capital. +10 to all Yields in the Capital during a Celebration.,MOD_UNLOCK_MEXICO_SYNCRETISM_EXPLORATION
CIVILIZATION_MING,Ming,Antiquity,TRADITION_MING_SYNCRETISM_ANTIQUITY,Chaogong I,+1 [icon:YIELD_DIPLOMACY] Influence for each [icon:RADIAL_RESOURCES] Resource slotted into your [icon:NOTIFICATION_SELECT_CAPITAL] Capital.,+1 Influence for each Resource slotted into your Capital.,MOD_UNLOCK_MING_SYNCRETISM_ANTIQUITY
CIVILIZATION_MING,Ming,Modern,TRADITION_MING_SYNCRETISM_MODERN,Chaogong II,+2 [icon:YIELD_DIPLOMACY] Influence for each [icon:RADIAL_RESOURCES] Resource slotted into your [icon:NOTIFICATION_SELECT_CAPITAL] Capital.,+2 Influence for each Resource slotted into your Capital.,MOD_UNLOCK_MING_SYNCRETISM_MODERN
