tradition_type,name,slot,description_raw,description_clean
TRADITION_AMERICA_SYNCRETISM_ANTIQUITY,Land of Opportunity I,Tradition,+1 [icon:YIELD_FOOD] on [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resources[/TIP] in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP].,+1 Food on Resources in Towns.
TRADITION_AMERICA_SYNCRETISM_EXPLORATION,Land of Opportunity II,Tradition,"+1 [icon:YIELD_FOOD] on [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resources[/TIP] in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP]. +1 [icon:YIELD_PRODUCTION] on Mines, Clay Pits, Quarries, Woodcutters, and Oil Rigs in [icon:TOWN_FOCUS] Mining [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP], [icon:YIELD_WAREHOUSE] Warehouse Bonus.","+1 Food on Resources in Towns. +1 Production on Mines, Clay Pits, Quarries, Woodcutters, and Oil Rigs in Mining Towns, Warehouse Bonus."
TRADITION_ANGADI_I,Angadi I,Tradition,+2 [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCE_CAPACITY_TOOLTIP]Resource Capacity[/TIP] in the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP]. +4 [icon:YIELD_GOLD] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] other than the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP] if they have a Water [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Building[/TIP].,+2 Resource Capacity in the Capital. +4 Gold in Settlements other than the Capital if they have a Water Building.
TRADITION_ANGADI_II,Angadi II,Tradition,+2 [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCE_CAPACITY_TOOLTIP]Resource Capacity[/TIP] in the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP]. +8 [icon:YIELD_GOLD] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] other than the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP] if they have a Water [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Building[/TIP].,+2 Resource Capacity in the Capital. +8 Gold in Settlements other than the Capital if they have a Water Building.
TRADITION_ANGARIUM,Čāpār-Kāna I,Tradition,"+3 [icon:YIELD_GOLD] in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP], doubled in [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Captured Towns[/TIP] from any Age.","+3 Gold in Towns, doubled in Captured Towns from any Age."
TRADITION_ANGARIUM_II,Čāpār-Kāna II,Tradition,"+6 [icon:YIELD_GOLD] in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP], doubled in [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Captured Towns[/TIP] from any Age.","+6 Gold in Towns, doubled in Captured Towns from any Age."
TRADITION_AQ_ATTRIBUTE_CULTURAL_01,Enlightened Rule,Tradition,+15% [icon:YIELD_PRODUCTION] towards constructing [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP].,+15% Production towards constructing Wonders.
TRADITION_AQ_ATTRIBUTE_DIPLOMATIC_01_HAPPINESS,Priestly Class,Tradition,Happiness [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP] cost no [TIP:LOC_PEDIA_CONCEPTS_MAINTENANCE_TOOLTIP]Maintenance[/TIP] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP].,Happiness Buildings cost no Maintenance in Cities.
TRADITION_AQ_ATTRIBUTE_DIPLOMATIC_01_INFLUENCE,Emissaries,Tradition,+25% [icon:YIELD_DIPLOMACY] towards initiating [icon:ENDEAVOR] [TIP:LOC_PEDIA_CONCEPTS_ENDEAVOR_TOOLTIP]Endeavors[/TIP]. +1 [icon:YIELD_GOLD] from active [icon:ENDEAVOR] Endeavors you started or supported.,+25% Influence towards initiating Endeavors. +1 Gold from active Endeavors you started or supported.
TRADITION_AQ_ATTRIBUTE_ECONOMIC_01,Merchant Class,Tradition,+1 [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCE_CAPACITY_TOOLTIP]Resource Capacity[/TIP] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] with a Gold [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Building[/TIP].,+1 Resource Capacity in Settlements with a Gold Building.
TRADITION_AQ_ATTRIBUTE_EXPANSIONIST_01,Fractal Cities,Tradition,+10% [icon:YIELD_PRODUCTION] towards constructing and +10% [icon:YIELD_GOLD] towards purchasing [icon:YIELD_WAREHOUSE] [TIP:LOC_PEDIA_CONCEPTS_WAREHOUSE_TOOLTIP]Warehouse[/TIP] [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP].,+10% Production towards constructing and +10% Gold towards purchasing Warehouse Buildings.
TRADITION_AQ_ATTRIBUTE_MILITARISTIC_01,Warrior Class,Tradition,+25% [icon:YIELD_PRODUCTION] towards training all [icon:UNIT_ARMY_COMMANDER] [TIP:LOC_PEDIA_CONCEPTS_COMMANDER_TOOLTIP]Commanders[/TIP]. +1 [icon:YIELD_GOLD] for every Unit packed into [icon:UNIT_ARMY_COMMANDER] Commanders.,+25% Production towards training all Commanders. +1 Gold for every Unit packed into Commanders.
TRADITION_AQ_ATTRIBUTE_SCIENTIFIC_01,Experimentation,Tradition,+5% [icon:YIELD_PRODUCTION] towards [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP] for every [icon:RADIAL_TECH] [TIP:LOC_PEDIA_CONCEPTS_TECH_MASTERY_TOOLTIP]Tech Mastery[/TIP] completed in an [TIP:LOC_PEDIA_CONCEPTS_AGE_TOOLTIP]Age[/TIP].,+5% Production towards Buildings for every Tech Mastery completed in an Age.
TRADITION_ARTHASHASTRA_I,Arthashastra I,Tradition,+1 [icon:YIELD_SCIENCE] for every 5 excess [icon:YIELD_HAPPINESS] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP].,+1 Science for every 5 excess Happiness in Cities.
TRADITION_ARTHASHASTRA_II,Arthashastra II,Tradition,+1 [icon:YIELD_SCIENCE] for every 5 excess [icon:YIELD_HAPPINESS] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP]. +10% [icon:YIELD_SCIENCE] in Cities while in a [icon:CELEBRATION] [TIP:LOC_PEDIA_CONCEPTS_CELEBRATIONS_TOOLTIP]Celebration[/TIP].,+1 Science for every 5 excess Happiness in Cities. +10% Science in Cities while in a Celebration.
TRADITION_ASSEMBLY_LINE,Assembly Line,Policy,+2 [icon:YIELD_PRODUCTION] from [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP]. -2 [icon:YIELD_FOOD] in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP].,+2 Production from Specialists. -2 Food in Towns.
TRADITION_ASSYRIA_SYNCRETISM_EXPLORATION,Ashur I,Tradition,+5 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for Infantry and Cavalry Units when attacking [icon:CITY_FORTIFIED] [TIP:LOC_PEDIA_CONCEPTS_FORTIFIED_DISTRICTS_TOOLTIP]Fortified Districts[/TIP].,+5 Combat Strength for Infantry and Cavalry Units when attacking Fortified Districts.
TRADITION_ASSYRIA_SYNCRETISM_MODERN,Ashur II,Tradition,+1 [icon:YIELD_SCIENCE] Science on [icon:CITY_FORTIFIED] Fortification Buildings. +5 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for Infantry and Cavalry Units when attacking [icon:CITY_FORTIFIED] [TIP:LOC_PEDIA_CONCEPTS_FORTIFIED_DISTRICTS_TOOLTIP]Fortified Districts[/TIP].,+1 Science on Fortification Buildings. +5 Combat Strength for Infantry and Cavalry Units when attacking Fortified Districts.
TRADITION_ATASSA,Buzzard Cult,Tradition,"+3 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for [TIP:LOC_PEDIA_CONCEPTS_LAND_UNITS_TOOLTIP]Land Units[/TIP] when defending. When making Peace with another Leader, Relationship with that Leader returns to Neutral and you get a free [TIP:LOC_PEDIA_CONCEPTS_MERCHANTS_TOOLTIP]Merchant[/TIP] in your [icon:NOTIFICATION_SELECT_CAPITAL] Capital.","+3 Combat Strength for Land Units when defending. When making Peace with another Leader, Relationship with that Leader returns to Neutral and you get a free Merchant in your Capital."
TRADITION_AUXILIA_I,Auxilia I,Tradition,+3% [icon:YIELD_PRODUCTION] towards [TIP:LOC_PEDIA_CONCEPTS_MILITARY_UNIT_TOOLTIP]Military Units[/TIP] in the [icon:NOTIFICATION_SELECT_CAPITAL] Capital for every [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Town[/TIP]. Training an Infantry Unit grants [icon:YIELD_CULTURE] equal to 25% of its [icon:YIELD_PRODUCTION] cost.,+3% Production towards Military Units in the Capital for every Town. Training an Infantry Unit grants Culture equal to 25% of its Production cost.
TRADITION_AUXILIA_II,Auxilia II,Tradition,+5% [icon:YIELD_PRODUCTION] towards Military Units in the [icon:NOTIFICATION_SELECT_CAPITAL] Capital for every [icon:YIELD_TOWNS] Town. Training an Infantry Unit grants [icon:YIELD_CULTURE] equal to 50% of its [icon:YIELD_PRODUCTION] cost.,+5% Production towards Military Units in the Capital for every Town. Training an Infantry Unit grants Culture equal to 50% of its Production cost.
TRADITION_AVANT_GARDE,Avant Garde,Policy,+2 [icon:YIELD_CULTURE] and [icon:YIELD_HAPPINESS] on displayed [icon:NAR_REW_GREATWORK] [TIP:LOC_PEDIA_CONCEPTS_GREAT_WORKS_TOOLTIP]Great Works[/TIP].,+2 Culture and Happiness on displayed Great Works.
TRADITION_AWISAN_DALEM_I,Awisan Dalem I,Tradition,+1 [icon:YIELD_CULTURE] on [icon:CITY_UNIMPROVED] Marine Terrain in [icon:YIELD_CITIES] Cities.,+1 Culture on Marine Terrain in Cities.
TRADITION_AWISAN_DALEM_II,Awisan Dalem II,Tradition,+1 [icon:YIELD_CULTURE] and +1 [icon:YIELD_PRODUCTION] on [icon:CITY_UNIMPROVED] Marine Terrain in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP].,+1 Culture and +1 Production on Marine Terrain in Cities.
TRADITION_BAGHATUR_I,Baghatur I,Tradition,+3 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for [TIP:LOC_PEDIA_CONCEPTS_CAVALRY_UNITS_TOOLTIP]Cavalry Units[/TIP].,+3 Combat Strength for Cavalry Units.
TRADITION_BAGHATUR_II,Baghatur II,Tradition,+3 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] and +2 [icon:Action_Move] Movement for [TIP:LOC_PEDIA_CONCEPTS_CAVALRY_UNITS_TOOLTIP]Cavalry Units[/TIP].,+3 Combat Strength and +2 Movement for Cavalry Units.
TRADITION_BANDITRY,Banditry,Tradition,-5 [icon:YIELD_GOLD] for each imported [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resource[/TIP].,-5 Gold for each imported Resource.
TRADITION_BANNER_ARMY,Banner Army II,Tradition,+30% [icon:YIELD_PRODUCTION] Production towards training [TIP:LOC_PEDIA_CONCEPTS_LAND_UNITS_TOOLTIP]Land Units[/TIP]. -2 [icon:YIELD_GOLD] Gold [TIP:LOC_PEDIA_CONCEPTS_MAINTENANCE_TOOLTIP]Maintenance[/TIP] for [TIP:LOC_PEDIA_CONCEPTS_LAND_UNITS_TOOLTIP]Land Units[/TIP].,+30% Production towards training Land Units. -2 Gold Maintenance for Land Units.
TRADITION_BANNER_ARMY_I,Banner Army I,Tradition,+20% [icon:YIELD_PRODUCTION] Production towards training [TIP:LOC_PEDIA_CONCEPTS_LAND_UNITS_TOOLTIP]Land Units[/TIP]. -1 [icon:YIELD_GOLD] Gold [TIP:LOC_PEDIA_CONCEPTS_MAINTENANCE_TOOLTIP]Maintenance[/TIP] for [TIP:LOC_PEDIA_CONCEPTS_LAND_UNITS_TOOLTIP]Land Units[/TIP].,+20% Production towards training Land Units. -1 Gold Maintenance for Land Units.
TRADITION_BAOJIA_I,Baojia I,Tradition,+1 [icon:YIELD_SCIENCE] Science for each [icon:RADIAL_RESOURCES] Resource assigned to a Settlement.,+1 Science for each Resource assigned to a Settlement.
TRADITION_BAOJIA_II,Baojia II,Tradition,+1[icon:YIELD_SCIENCE] Science for each [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resource[/TIP] assigned to a [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]City[/TIP]. This becomes +2 in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] other than your [icon:NOTIFICATION_SELECT_CAPITAL] Capital.,+1Science Science for each Resource assigned to a City. This becomes +2 in Cities other than your Capital.
TRADITION_BARBARIAN_MERCENARIES,Barbarian Mercenaries,Tradition,+100% [icon:YIELD_GOLD] [TIP:LOC_PEDIA_CONCEPTS_MAINTENANCE_TOOLTIP]Maintenance[/TIP] for [TIP:LOC_PEDIA_CONCEPTS_MILITARY_UNIT_TOOLTIP]Military Units[/TIP].,+100% Gold Maintenance for Military Units.
TRADITION_BATAILLON_CARRE,Bataillon-Carré,Tradition,"[TIP:LOC_PEDIA_CONCEPTS_INFANTRY_UNITS_TOOLTIP]Infantry Units[/TIP] gain the Swift ability, allowing them to ignore [TIP:LOC_PEDIA_CONCEPTS_ZONE_OF_CONTROL_TOOLTIP]Zone of Control[/TIP].","Infantry Units gain the Swift ability, allowing them to ignore Zone of Control."
TRADITION_BAYEUX_TAPESTRY_I,Bayeux Tapestry I,Tradition,+4 [icon:YIELD_CULTURE] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Captured Settlements[/TIP] from any Age. Gain a free [icon:CITY_FORTIFIED] Fortification purchase in Captured Settlements.,+4 Culture in Captured Settlements from any Age. Gain a free Fortification purchase in Captured Settlements.
TRADITION_BAYEUX_TAPESTRY_II,Bayeux Tapestry II,Tradition,+6 [icon:YIELD_CULTURE] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Captured Settlements[/TIP] from any Age. Gain a free [icon:CITY_FORTIFIED] Fortification purchase in Captured Settlements.,+6 Culture in Captured Settlements from any Age. Gain a free Fortification purchase in Captured Settlements.
TRADITION_BEOPSEONG_I,Beopseong I,Tradition,+2 [icon:YIELD_HAPPINESS] Happiness on [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resources[/TIP] in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP] with a [icon:YIELD_HAPPINESS] Happiness [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Building[/TIP].,+2 Happiness on Resources in Towns with a Happiness Building.
TRADITION_BEOPSEONG_II,Beopseong II,Tradition,+2 [icon:YIELD_HAPPINESS] Happiness on [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resources[/TIP] in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP].,+2 Happiness on Resources in Towns.
TRADITION_BLACK_FLAG_I,Black Flag I,Tradition,+50 [icon:YIELD_GOLD] Gold (Scales with Game Speed) from [icon:Action_Pillage] Plundering [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Routes[/TIP]. +50% Yields and [icon:Action_Heal] Healing from [icon:Action_Pillage] Coastal Raiding with Naval Units.,+50 Gold (Scales with Game Speed) from Plundering Trade Routes. +50% Yields and Healing from Coastal Raiding with Naval Units.
TRADITION_BLACK_FLAG_II,Black Flag II,Tradition,+100 [icon:YIELD_GOLD] Gold (Scales with Game Speed) from [icon:Action_Pillage] Plundering [TIP:LOC_PEDIA_CONCEPTS_TRADE_ROUTE_TOOLTIP]Trade Routes[/TIP]. +100% Yields and [icon:Action_Heal] Healing from [icon:Action_Pillage] Coastal Raiding with Naval Units. [icon:UNIT_FLEET_COMMANDER] [TIP:LOC_PEDIA_CONCEPTS_COMMANDER_TOOLTIP]Fleet Commanders[/TIP] and [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval Units[/TIP] gain [TIP:LOC_PEDIA_CONCEPTS_STEALTH_TOOLTIP]Stealth[/TIP] on Atolls.,+100 Gold (Scales with Game Speed) from Plundering Trade Routes. +100% Yields and Healing from Coastal Raiding with Naval Units. Fleet Commanders and Naval Units gain Stealth on Atolls.
TRADITION_BON_OM_TOUK,Bon Om Touk,Tradition,Science [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] gain an adjacency for [TIP:LOC_PEDIA_CONCEPTS_FLOODPLAINS_TOOLTIP]Floodplains[/TIP]. +3 [icon:GREATWORK] [TIP:LOC_PEDIA_CONCEPTS_GREAT_WORKS_TOOLTIP]Great Work[/TIP] Slots on the Palace.,Science Buildings in Cities gain an adjacency for Floodplains. +3 Great Work Slots on the Palace.
TRADITION_BOURGEOISIE,Bourgeoisie,Policy,+4 [icon:YIELD_CULTURE] and [icon:YIELD_GOLD] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] in your [TIP:LOC_PEDIA_CONCEPTS_HOMELANDS_TOOLTIP]Homelands[/TIP].,+4 Culture and Gold in Cities in your Homelands.
TRADITION_BREAD_DANCE_I,Bread Dance I,Tradition,+4 [icon:YIELD_CULTURE] Culture in [icon:YIELD_TOWNS] Farming [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP] and +4 [icon:YIELD_FOOD] Food in [icon:YIELD_TOWNS] Fishing [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP].,+4 Culture in Farming Towns and +4 Food in Fishing Towns.
TRADITION_BREAD_DANCE_II,Bread Dance II,Tradition,+8 [icon:YIELD_CULTURE] Culture in [icon:YIELD_TOWNS] Farming [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP] and +8 [icon:YIELD_FOOD] Food in [icon:YIELD_TOWNS] Fishing [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP].,+8 Culture in Farming Towns and +8 Food in Fishing Towns.
TRADITION_BUGANDA_SYNCRETISM_ANTIQUITY,Ebika I,Tradition,+1 [icon:YIELD_CULTURE] and [icon:YIELD_FOOD] on [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] on or adjacent to Lakes.,+1 Culture and Food on Districts on or adjacent to Lakes.
TRADITION_BUGANDA_SYNCRETISM_EXPLORATION,Ebika II,Tradition,+2 [icon:YIELD_CULTURE] and [icon:YIELD_FOOD] on [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP] on or adjacent to Lakes.,+2 Culture and Food on Districts on or adjacent to Lakes.
TRADITION_BULGARIA_SYNCRETISM_ANTIQUITY,Uporitost I,Tradition,+2 [icon:YIELD_PRODUCTION] Production on displayed [icon:NAR_REW_GREATWORK] Great Works.,+2 Production on displayed Great Works.
TRADITION_BULGARIA_SYNCRETISM_MODERN,Uporitost II,Tradition,+3 [icon:YIELD_PRODUCTION] Production on displayed [icon:NAR_REW_GREATWORK] Great Works. [TIP:LOC_PEDIA_CONCEPTS_LAND_UNITS_TOOLTIP]Land Units[/TIP] can [icon:Action_Pillage] Pillage for 1 [icon:Action_Move] Movement.,+3 Production on displayed Great Works. Land Units can Pillage for 1 Movement.
TRADITION_CAM_BINH_I,Cấm Binh I,Tradition,+1 [icon:YIELD_GOLD] on [icon:CITY_FORTIFIED] Fortifications. +50% [icon:YIELD_PRODUCTION] towards constructing [icon:CITY_FORTIFIED] Fortification Constructibles.,+1 Gold on Fortifications. +50% Production towards constructing Fortification Constructibles.
TRADITION_CAM_BINH_II,Cấm Binh II,Tradition,+2 [icon:YIELD_GOLD] on [icon:CITY_FORTIFIED] Fortifications. +50% [icon:YIELD_PRODUCTION] towards constructing and [icon:YIELD_GOLD] towards purchasing [icon:CITY_FORTIFIED] Fortification Constructibles.,+2 Gold on Fortifications. +50% Production towards constructing and Gold towards purchasing Fortification Constructibles.
TRADITION_CAPITAL_UNHAPPINESS,Independent Nobility,Tradition,-10 [icon:YIELD_HAPPINESS] in your [icon:NOTIFICATION_SELECT_CAPITAL] Capital.,-10 Happiness in your Capital.
TRADITION_CARTHAGE_SYNCRETISM_EXPLORATION,Hannoid Rule I,Tradition,+1 [icon:YIELD_GOLD] Gold and [icon:YIELD_PRODUCTION] Production in the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP] for every [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resource[/TIP] assigned to it.,+1 Gold and Production in the Capital for every Resource assigned to it.
TRADITION_CARTHAGE_SYNCRETISM_MODERN,Hannoid Rule II,Tradition,+2 [icon:YIELD_GOLD] Gold and [icon:YIELD_PRODUCTION] Production in the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP] for every [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resource[/TIP] assigned to it.,+2 Gold and Production in the Capital for every Resource assigned to it.
TRADITION_CASTES,Castes,Policy,+2 [icon:YIELD_FOOD] in all [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP].,+2 Food in all Settlements.
TRADITION_CERRO_RICO_I,Cerro Rico I,Tradition,+1 [icon:YIELD_GOLD] on [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resources[/TIP].,+1 Gold on Resources.
